FIGURA,MEDIDA1,MEDIDA2
c,20,0
c,6,0
c,11,0
c,11,0
t,6,4
t,15,18
t,20,18
t,19,1
r,2,19
c,12,0
r,4,11
t,1,1
r,19,6
t,8,13
c,9,0
c,18,0
r,12,13
r,9,7
r,20,10
t,18,11
t,2,3
t,14,7
t,14,14
c,7,0
c,16,0
c,20,0
c,12,0
t,6,20
r,1,4
c,1,0
t,16,9
c,4,0
c,9,0
c,19,0
r,11,5
t,18,4
c,7,0
t,2,1
r,8,14
t,16,8
r,20,15
t,16,20
t,5,11
c,3,0
t,7,8
t,19,4
t,8,6
r,3,9
t,6,15
t,3,7
t,20,9
r,6,20
r,19,5
c,8,0
c,8,0
r,19,19
r,20,10
r,18,15
c,14,0
t,4,8
r,6,20
r,9,7
t,7,18
c,2,0
c,9,0
r,14,19
r,12,9
r,10,1
r,3,5
t,20,14
t,4,9
c,20,0
c,1,0
t,11,16
t,9,16
c,16,0
c,6,0
c,10,0
r,18,8
t,20,14
t,16,18
c,9,0
r,2,20
r,8,9
r,11,4
r,13,7
t,5,5
c,20,0
t,5,19
r,1,5
c,2,0
t,10,20
r,16,2
r,20,15
t,13,18
r,12,11
t,4,10
r,5,6
t,13,7
t,3,1
